"symbol","date","close","ret_1d","ret_3d","ret_7d","volatility_14d","rsi_14","close_to_sma20","close_to_sma50","volume_z20","future_ret_1d","label_up_1d","is_trainable"
"BTCUSDT","2017-08-17","4285.08","0","0","0","0","50","0","0","0","-0.0412384366219534","0","True"
"BTCUSDT","2017-08-18","4108.37","-0.0412384366219534","0","0","0","50","0","0","0","0.0076940489780617","1","True"
"BTCUSDT","2017-08-19","4139.98","0.0076940489780617","0","0","0","50","0","0","0","-0.0129686616843558","0","True"
"BTCUSDT","2017-08-20","4086.29","-0.0129686616843558","-0.0463911992308195","0","0","50","0","0","0","-0.0172014223170651","0","True"
"BTCUSDT","2017-08-21","4016","-0.0172014223170651","-0.022483369316785","0","0","50","0","0","0","0.00597609561752988","1","True"
"BTCUSDT","2017-08-22","4040","0.00597609561752988","-0.0241498751201695","0","0","50","0","0","0","0.0183193069306931","1","True"
"BTCUSDT","2017-08-23","4114.01","0.0183193069306931","0.00678365950532145","0","0","50","0","0","0","0.0491005126385207","1","True"
"BTCUSDT","2017-08-24","4316.01","0.0491005126385207","0.0747036852589642","0.00721806827410454","0","50","0","0","0","-0.00818580123771717","0","True"
"BTCUSDT","2017-08-25","4280.68","-0.00818580123771717","0.0595742574257427","0.0419412078269485","0","50","0","0","0","0.0132595755814495","1","True"
"BTCUSDT","2017-08-26","4337.44","0.0132595755814495","0.0543095422714091","0.0476958825888047","0","50","0","0","0","-0.00632400678741363","0","True"
"BTCUSDT","2017-08-27","4310.01","-0.00632400678741363","-0.00139017286799614","0.0547489287348673","0","50","0","0","0","0.0177911420159116","1","True"
"BTCUSDT","2017-08-28","4386.69","0.0177911420159116","0.0247647570012239","0.0923032868525895","0","50","0","0","0","0.0457725528815576","1","True"
"BTCUSDT","2017-08-29","4587.48","0.0457725528815576","0.0576469069312775","0.135514851485148","0","50","0","0","0","-0.00704962201470072","0","True"
"BTCUSDT","2017-08-30","4555.14","-0.00704962201470072","0.0568745780172204","0.107226282872429","0.0230665816195325","50","0","0","0","0.0372655944713005","1","True"
"BTCUSDT","2017-08-31","4724.89","0.0372655944713005","0.0770968543480393","0.0947356470443768","0.0244842867611127","67.8582739830599","0","0","0","0.0232851981739257","1","True"
"BTCUSDT","2017-09-01","4834.91","0.0232851981739257","0.0539359299659072","0.129472420269677","0.020692980348626","70.6794655907821","0","0","0","-0.0750313863132922","0","True"
"BTCUSDT","2017-09-02","4472.14","-0.0750313863132922","-0.0182211743217552","0.0310551846250324","0.0305274307663105","53.884720079743","0","0","0","0.00826002763777511","1","True"
"BTCUSDT","2017-09-03","4509.08","0.00826002763777511","-0.0456751374106065","0.0461878278704688","0.0300713635415512","55.0558459907401","0","0","0","-0.0906992113690598","0","True"
"BTCUSDT","2017-09-04","4100.11","-0.0906992113690598","-0.151978009931933","-0.0653294397370227","0.0390142704829394","42.2600345390012","0","0","0","0.0649641107189809","1","True"
"BTCUSDT","2017-09-05","4366.47","0.0649641107189809","-0.0236285089464999","-0.0481767767924872","0.0422392826631511","50.3531915310706","0.00876300294394938","0","1.52606044187664","0.0580102462629997","1","True"
"BTCUSDT","2017-09-06","4619.77","0.0580102462629997","0.024548244874786","0.0141883674266872","0.0442241234190548","56.5852261259233","0.0631712825441251","0","0.351033283571712","0.0155505577117474","1","True"
"BTCUSDT","2017-09-07","4691.61","0.0155505577117474","0.144264422174039","-0.00704355022021685","0.0428922747831327","58.1882951186167","0.0725063839665707","0","-0.626867386758495","-0.0871363988055273","0","True"
"BTCUSDT","2017-09-08","4282.8","-0.0871363988055273","-0.019161931720589","-0.114192404822427","0.0492294406449424","47.4508987854207","-0.0225435981775055","0","1.38253576798342","-0.00560147567012226","0","True"
"BTCUSDT","2017-09-09","4258.81","-0.00560147567012226","-0.0781337599057962","-0.0477019950180451","0.049141166719684","46.9039256898314","-0.0299285739097458","0","-0.381006492448316","-0.0301586593438075","0","True"
"BTCUSDT","2017-09-10","4130.37","-0.0301586593438075","-0.119626311649945","-0.0839883080362291","0.0497376860215184","43.9808511887662","-0.0604085014266638","0","-0.474891383477463","0.0189087176209397","1","True"
"BTCUSDT","2017-09-11","4208.47","0.0189087176209397","-0.0173554683851685","0.0264285592337767","0.0497699028361842","46.177351049207","-0.0444730197649164","0","-0.221356278384215","-0.0106333180467011","0","True"
"BTCUSDT","2017-09-12","4163.72","-0.0106333180467011","-0.0223278333619016","-0.0464333889846947","0.0480168404271911","45.0864940336209","-0.055166639058008","0","0.464217778735114","-0.0526044018329763","0","True"
"BTCUSDT","2017-09-13","3944.69","-0.0526044018329763","-0.0449548103438675","-0.146128486916015","0.0495168651292383","40.0940420017755","-0.10108188568418","0","0.316561735162253","-0.19156638417721","0","True"
"BTCUSDT","2017-09-14","3189.02","-0.19156638417721","-0.242237677825908","-0.320271719090035","0.0664341654194456","28.4069721045255","-0.264131347000391","0","1.98437878815154","0.160231042765489","1","True"
"BTCUSDT","2017-09-15","3700","0.160231042765489","-0.111371561968624","-0.136079200523022","0.0812911773916982","40.9428484807714","-0.139896727167571","0","2.19479879185465","0.00404054054054059","1","True"
"BTCUSDT","2017-09-16","3714.95","0.00404054054054059","-0.0582403179971051","-0.127702339385885","0.0796925108653651","41.2668813052849","-0.130406998410134","0","0.778304132900017","-0.00402697209922076","0","True"
"BTCUSDT","2017-09-17","3699.99","-0.00402697209922076","0.160227907005914","-0.104198897435339","0.079555353865678","41.0243136342422","-0.126891553266485","0","-1.06396390126261","0.0905461906653804","1","True"
"BTCUSDT","2017-09-18","4035.01","0.0905461906653804","0.0905432432432434","-0.0412168792934249","0.0802385368673848","48.3467077640988","-0.0415875166786522","0","0.147681465395949","-0.030971422623488","0","True"
"BTCUSDT","2017-09-19","3910.04","-0.030971422623488","0.0525148386923109","-0.0609262870702161","0.0786651772548852","46.0498805557295","-0.0641006691851123","0","-0.25808456038951","-0.00256774866753284","0","True"
"BTCUSDT","2017-09-20","3900","-0.00256774866753284","0.0540569028564943","-0.0113291538752095","0.0767408217640433","45.8613763132421","-0.0571962757802432","0","-0.854915521487416","-0.0743615384615385","0","True"
"BTCUSDT","2017-09-21","3609.99","-0.0743615384615385","-0.105333072284827","0.132006070830537","0.0781666000451347","40.6811388641449","-0.11418940008127","0","-0.158251831342871","-0.00391136817553506","0","True"
"BTCUSDT","2017-09-22","3595.87","-0.00391136817553506","-0.0803495616413131","-0.0281432432432432","0.0756094127173832","40.4416212003143","-0.108065072428306","0","-0.70369490744834","0.0512059668452975","1","True"
"BTCUSDT","2017-09-23","3780","0.0512059668452975","-0.0307692307692308","0.0175103298833095","0.0772157704974755","44.9900387200704","-0.0538372842927357","0","-0.873022220624057","-0.0317407407407407","0","True"
"BTCUSDT","2017-09-24","3660.02","-0.0317407407407407","0.0138587641517014","-0.0108027318992754","0.0772530428146803","42.7016434878555","-0.078795292317296","0","-1.07042616334665","0.0712373156430839","1","True"
"BTCUSDT","2017-09-25","3920.75","0.0712373156430839","0.0903480937853705","-0.028317154108664","0.0795761405328155","48.7967214808723","-0.00760454733909244","0","-0.699980516199163","-0.00979404450679078","0","True"
"BTCUSDT","2017-09-26","3882.35","-0.00979404450679078","0.0270767195767196","-0.00708176898446056","0.0795697751594649","47.9870917725822","-0.00806684239827982","0","-1.21589641539241","0.0800159697090679","1","True"
"BTCUSDT","2017-09-27","4193","0.0800159697090679","0.145622155070191","0.0751282051282052","0.0808340422443099","54.5560524033215","0.0781712744367589","0","-0.818137193227386","-0.00441211543047937","0","True"
"BTCUSDT","2017-09-28","4174.5","-0.00441211543047937","0.0647197602499521","0.156374394388904","0.059402587752054","54.1177135021142","0.0749109551695564","0","0.0911931631666297","4.55144328661561E-05","1","True"
"BTCUSDT","2017-09-29","4174.69","4.55144328661561E-05","0.0752997540149651","0.160967999399311","0.045242566830996","54.1217904963081","0.0761253465928686","0","2.23994436852377","0.0488227868416578","1","True"
"BTCUSDT","2017-09-30","4378.51","0.0488227868416578","0.0442427855950394","0.158335978835979","0.0463025282885389","58.3928969747812","0.125066598728576","0","-0.437911581984185","-6.85164587965748E-06","0","True"
"BTCUSDT","2017-10-01","4378.48","-6.85164587965748E-06","0.0488633369265778","0.196299473773367","0.0462092615763035","58.3920352934334","0.122606869918792","0","-0.408629560367731","0.000347152436461995","1","True"
"BTCUSDT","2017-10-02","4380","0.000347152436461995","0.0491796995705072","0.117133201555825","0.0409589107747357","58.4255102956298","0.1198915494978","0","-0.551641760650871","-0.0159817351598174","0","True"
"BTCUSDT","2017-10-03","4310","-0.0159817351598174","-0.0156468753068967","0.110152356176027","0.0401478479683579","56.1837260387998","0.0968711559405937","0","0.71776521759947","-0.0235290023201856","0","True"
"BTCUSDT","2017-10-04","4208.59","-0.0235290023201856","-0.0388011364674498","0.00371810159790131","0.0408897694282093","53.0103647520206","0.0573451443935522","0","0.0904995521559412","0.0199211612440271","1","True"
"BTCUSDT","2017-10-05","4292.43","0.0199211612440271","-0.0199931506849315","0.0282500898311175","0.0342839727338508","55.2602368633354","0.0704424995919528","0.0320365229315882","-0.105481954000001","0.0178383805909472","1","True"
"BTCUSDT","2017-10-06","4369","0.0178383805909472","0.0136890951276103","0.0465447733843711","0.0339731128699053","57.2723696029119","0.0807238103813299","0.0500226563597652","-1.08018262331302","0.0123598077363241","1","True"
"BTCUSDT","2017-10-07","4423","0.0123598077363241","0.0509458037014772","0.0101609908393494","0.032418315132286","58.6836229195397","0.0843845075949201","0.0613955534941437","-1.80530980129151","0.0490617228125707","1","True"
"BTCUSDT","2017-10-08","4640","0.0490617228125707","0.0809727823167763","0.0597284902523252","0.0313282416133241","63.8507184926829","0.129211759085591","0.110803724907925","-0.739098380862941","0.0316702586206896","1","True"
"BTCUSDT","2017-10-09","4786.95","0.0316702586206896","0.0956626230258639","0.0929109589041095","0.0279628945710398","66.8721455332727","0.152674638834271","0.14215156402195","-0.0581017337570577","-0.000812625993586558","0","True"
"BTCUSDT","2017-10-10","4783.06","-0.000812625993586558","0.0814062853267015","0.109758700696056","0.0274917297723024","66.713185182507","0.139621680369315","0.137061364408976","1.62122582545606","0.00802206119095294","1","True"
"BTCUSDT","2017-10-11","4821.43","0.00802206119095294","0.0391012931034482","0.145616465372013","0.0208522875760922","67.5329941702844","0.132420689766129","0.14194024800607","0.359144784302829","0.126221888526848","1","True"
"BTCUSDT","2017-10-12","5430","0.126221888526848","0.134333970482249","0.265017717237089","0.0359621529849913","77.1467303981232","0.248465858482371","0.278110667153996","2.41809520952902","0.04051197053407","1","True"
"BTCUSDT","2017-10-13","5649.98","0.04051197053407","0.181247987689889","0.293197528038453","0.0359029059053284","79.5087122511458","0.271705444066482","0.321590148509365","3.30344503244037","0.038939960849419","1","True"
"BTCUSDT","2017-10-14","5869.99","0.038939960849419","0.217479046672875","0.327151254804431","0.0354722095605565","81.5613029181646","0.289162636928466","0.362919336398785","0.772863750731857","-0.0272572866393299","0","True"
"BTCUSDT","2017-10-15","5709.99","-0.0272572866393299","0.0515635359116022","0.230601293103448","0.0373128171413123","75.6282351515979","0.229859798968186","0.317373323720259","1.53858272901658","0.00876183671074737","1","True"
"BTCUSDT","2017-10-16","5760.02","0.00876183671074737","0.0194761751369033","0.203275572128391","0.0370614180982758","76.2109648937098","0.216045581283603","0.320083590336215","1.78563882065907","-0.0286492060791457","0","True"
"BTCUSDT","2017-10-17","5595","-0.0286492060791457","-0.0468467578309333","0.169753254192923","0.0380794718850037","70.2449279261325","0.163980634857298","0.275201642541766","1.3450898853592","-0.0148239499553172","0","True"
"BTCUSDT","2017-10-18","5512.06","-0.0148239499553172","-0.0346638085180533","0.143241735335782","0.0374373729696537","67.3894896365709","0.13099008363121","0.25102558242301","2.47117585726415","0.0311752774824656","1","True"
"BTCUSDT","2017-10-19","5683.9","0.0311752774824656","-0.013215231891556","0.0467587476979741","0.0375450121505812","70.1012754596566","0.148466914165236","0.283450633542159","1.64897588178476","0.0573743380425413","1","True"
"BTCUSDT","2017-10-20","6010.01","0.0573743380425413","0.0741751563896336","0.0637223494596442","0.0386761026439242","74.4444523540767","0.194668052293773","0.349257054503564","1.68018872476983","0.00248918055044833","1","True"
"BTCUSDT","2017-10-21","6024.97","0.00248918055044833","0.0930523252649644","0.0264020892710211","0.0389662661712166","74.6265425927844","0.178358617482156","0.345426436204653","1.14661908229173","-0.0124398959662869","0","True"
"BTCUSDT","2017-10-22","5950.02","-0.0124398959662869","0.0468199651647638","0.0420368512028919","0.0392517502843177","71.8638247797756","0.146103645945696","0.319977015173296","0.47292290267355","-0.00572939250624371","0","True"
"BTCUSDT","2017-10-23","5915.93","-0.00572939250624371","-0.0156538841033542","0.0270676143485613","0.0395466852995119","70.5838870969774","0.122180561481986","0.3042730395195","1.11984675337937","-0.0741895188076939","0","True"
"BTCUSDT","2017-10-24","5477.03","-0.0741895188076939","-0.0909448511776823","-0.0210848972296694","0.0457944189902919","56.6054140845079","0.0265764126570907","0.200222696299434","1.93195494721704","0.038882386987108","1","True"
"BTCUSDT","2017-10-25","5689.99","0.038882386987108","-0.0437023741096669","0.0322801275748086","0.0463497388196583","60.6749134794008","0.0527044144191893","0.239699149543102","1.25647134398528","0.0301898597361332","1","True"
"BTCUSDT","2017-10-26","5861.77","0.0301898597361332","-0.00915494267173544","0.0312936540051727","0.0347272005400057","63.6371680750108","0.0697138831936825","0.270250917121609","0.872980416041201","-0.015855279207475","0","True"
"BTCUSDT","2017-10-27","5768.83","-0.015855279207475","0.0532770497879325","-0.0401297169222681","0.0337567741355585","60.9615539668892","0.0399822680411994","0.244301474854534","-0.117674582844315","-0.00852685899913841","0","True"
"BTCUSDT","2017-10-28","5719.64","-0.00852685899913841","0.00521090546732084","-0.0506774307589913","0.0322318427372749","59.5348215581874","0.0211767356656012","0.226091742644123","-0.497485043956311","0.0787357246260252","1","True"
"BTCUSDT","2017-10-29","6169.98","0.0787357246260252","0.0525796815637596","0.0369679429648975","0.0373018466156842","67.1214318757644","0.088145349883072","0.311879728177639","0.527964991933701","-0.00801947494157185","0","True"
"BTCUSDT","2017-10-30","6120.5","-0.00801947494157185","0.0609603680469004","0.0345795166609475","0.0374708736026321","65.6647245800938","0.0668371142531037","0.290438229069663","-0.138222668711714","0.0559594804346051","1","True"
